States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Andhra Pradesh,127,43,144,Drunken Driving,2019
Arunachal Pradesh,46,27,70,Drunken Driving,2019
Assam,279,74,306,Drunken Driving,2019
Bihar,0,0,0,Drunken Driving,2019
Chhattisgarh,134,34,112,Drunken Driving,2019
Goa,6,1,0,Drunken Driving,2019
Gujarat,47,17,34,Drunken Driving,2019
Haryana,299,132,280,Drunken Driving,2019
Himachal Pradesh,75,24,106,Drunken Driving,2019
Jammu & Kashmir,25,5,44,Drunken Driving,2019
Jharkhand,686,578,382,Drunken Driving,2019
Karnataka,132,37,166,Drunken Driving,2019
Kerala,104,20,103,Drunken Driving,2019
Madhya Pradesh,1030,241,1039,Drunken Driving,2019
Maharashtra,258,53,280,Drunken Driving,2019
Manipur,81,12,146,Drunken Driving,2019
Meghalaya,23,4,15,Drunken Driving,2019
Mizoram,17,12,10,Drunken Driving,2019
Nagaland,132,7,89,Drunken Driving,2019
Orissa,1068,507,998,Drunken Driving,2019
Punjab,1290,889,1059,Drunken Driving,2019
Rajasthan,262,83,313,Drunken Driving,2019
Sikkim,19,7,19,Drunken Driving,2019
Tamil Nadu,1047,157,1246,Drunken Driving,2019
Telangana,246,68,215,Drunken Driving,2019
Tripura,19,3,29,Drunken Driving,2019
Uttarakhand,25,17,24,Drunken Driving,2019
Uttar Pradesh,4496,2224,3070,Drunken Driving,2019
West Bengal,8,3,6,Drunken Driving,2019
A & N Islands,41,1,36,Drunken Driving,2019
Chandigarh,8,0,8,Drunken Driving,2019
D & N Haveli,1,0,0,Drunken Driving,2019
Daman & Diu,4,0,4,Drunken Driving,2019
Delhi,215,45,202,Drunken Driving,2019
Lakshadweep,0,0,0,Drunken Driving,2019
Puducherry,6,0,9,Drunken Driving,2019
Andhra Pradesh,509,155,638,Driving On wrong side,2019
Arunachal Pradesh,57,28,77,Driving On wrong side,2019
Assam,929,363,625,Driving On wrong side,2019
Bihar,1465,1034,1086,Driving On wrong side,2019
Chhattisgarh,760,197,786,Driving On wrong side,2019
Goa,100,19,122,Driving On wrong side,2019
Gujarat,607,225,712,Driving On wrong side,2019
Haryana,959,418,1022,Driving On wrong side,2019
Himachal Pradesh,715,341,1531,Driving On wrong side,2019
Jammu & Kashmir,72,11,87,Driving On wrong side,2019
Jharkhand,343,234,279,Driving On wrong side,2019
Karnataka,1131,248,1520,Driving On wrong side,2019
Kerala,1449,131,1791,Driving On wrong side,2019
Madhya Pradesh,2814,555,2952,Driving On wrong side,2019
Maharashtra,553,154,571,Driving On wrong side,2019
Manipur,23,7,33,Driving On wrong side,2019
Meghalaya,26,13,12,Driving On wrong side,2019
Mizoram,5,5,2,Driving On wrong side,2019
Nagaland,82,7,37,Driving On wrong side,2019
Orissa,1040,445,1235,Driving On wrong side,2019
Punjab,1455,987,984,Driving On wrong side,2019
Rajasthan,1130,478,1139,Driving On wrong side,2019
Sikkim,19,3,61,Driving On wrong side,2019
Tamil Nadu,2325,402,2637,Driving On wrong side,2019
